name,artist,playlist_id,playlist_name
"Roméo et Juliette, CG 9 / Act 1: ""Ah, je veux vivre""                                                                                                                         ",Charles Gounod                                  ,210,Acoustic Chill 3
"Carmen / Act 2: Toreador Song: ""Votre toast, je peux vous le rendre"" (from Carmen / Act 2)                                                                                   ",Georges Bizet                                   ,101,Mellow Acoustic 3
"Nabucco / Act 3: Va, pensiero, sull'ali dorate                                                                                                                                 ",Giuseppe Verdi                                  ,6,Acoustic Instrumentals
"Le nozze di Figaro, K.492: Overture                                                                                                                                            ",Wolfgang Amadeus Mozart                         ,6,Acoustic Instrumentals
"Die Zauberflöte, K.620 / Erster Aufzug: ""Dies Bildnis ist bezaubernd schön""                                                                                                  ",Wolfgang Amadeus Mozart                         ,210,Acoustic Chill 3
"Werther: ""Pourquoi me réveiller, ô souffle du printemps?""                                                                                                                    ",Jules Massenet                                  ,18,Acoustic Chill 2
"Giordano: Andrea Chénier, Act 3: ""La mamma morta"" (Maddalena)                                                                                                                ",Umberto Giordano                                ,210,Acoustic Chill 3
"Aida / Act 1: ""Celeste Aida""                                                                                                                                                 ",Giuseppe Verdi                                  ,14,Acoustic Chill
"La Bohème / Act 1: ""Sì. Mi chiamano Mimì""                                                                                                                                    ",Giacomo Puccini                                 ,210,Acoustic Chill 3
"Vier letzte Lieder, TrV 296: 2. September                                                                                                                                      ",Richard Strauss                                 ,210,Acoustic Chill 3
"La Bohème / Act 1: ""O soave fanciulla""                                                                                                                                       ",Giacomo Puccini                                 ,14,Acoustic Chill
"Le nozze di Figaro, K.492 / Act 3: ""Dove sono i bei momenti""                                                                                                                 ",Wolfgang Amadeus Mozart                         ,210,Acoustic Chill 3
"La Bohème / Act 1: ""Che gelida manina""                                                                                                                                       ",Giacomo Puccini                                 ,14,Acoustic Chill
"Tosca / Act 2: ""Vissi d'arte, vissi d'amore""                                                                                                                                 ",Giacomo Puccini                                 ,18,Acoustic Chill 2
"Lakmé / Act 1: ""Viens, Mallika, ... Dôme épais"" (Flower Duet)                                                                                                                ",Léo Delibes                                     ,14,Acoustic Chill
"La Bohème / Act 2: ""Quando m'en vo"" - Live                                                                                                                                   ",Giacomo Puccini                                 ,14,Acoustic Chill
"La Bohème / Act 1: ""Sì. Mi chiamano Mimì"" - Live                                                                                                                             ",Giacomo Puccini                                 ,210,Acoustic Chill 3
"Die Walküre, WWV 86B / Act 1: ""Winterstürme wichen dem Wonnemond""                                                                                                            ",Richard Wagner                                  ,14,Acoustic Chill
"Roméo et Juliette, CG 9 / Act 1: ""Ah, je veux vivre dans ce rève""                                                                                                            ",Charles Gounod                                  ,210,Acoustic Chill 3
"Il barbiere di Siviglia (The Barber of Seville), Act 1: ""Largo al factotum""                                                                                                  ",Gioachino Rossini                               ,210,Acoustic Chill 3
Carmen Suite No.1: Prélude                                                                                                                                                       ,Georges Bizet                                   ,100,Acoustic Instrumentals 3
"La Gioconda / Act 2: ""Cielo e mar""                                                                                                                                           ",Amilcare Ponchielli                             ,210,Acoustic Chill 3
"Andrea Chénier / Act 3: ""La mamma morta""                                                                                                                                     ",Umberto Giordano                                ,210,Acoustic Chill 3
"Madama Butterfly / Act 2: ""Un bel dì vedremo""                                                                                                                                ",Giacomo Puccini                                 ,210,Acoustic Chill 3
"Tannhäuser, WWV 70 / Act 3: ""Allmächt'ge Jungfrau, hör mein Flehen!""                                                                                                         ",Richard Wagner                                  ,14,Acoustic Chill
"Les pêcheurs de perles, WD 13 / Act 1: ""Au fond du temple saint""                                                                                                             ",Georges Bizet                                   ,210,Acoustic Chill 3
"Norma - Critical Edition by Maurizio Biondi and Riccardo Minasi / Act 1 Scene 1: ""Casta Diva""                                                                                ",Vincenzo Bellini                                ,210,Acoustic Chill 3
"Rigoletto / Act 1: ""Gualtier Maldè...Caro nome""                                                                                                                              ",Giuseppe Verdi                                  ,210,Acoustic Chill 3
"Così fan tutte, K.588 / Act 1: ""Al fato dan legge"" - ""La commedia è graziosa""                                                                                              ",Wolfgang Amadeus Mozart                         ,14,Acoustic Chill
"Le nozze di Figaro, K.492 / Act 2: ""Porgi amor""                                                                                                                              ",Wolfgang Amadeus Mozart                         ,210,Acoustic Chill 3
Les Contes d'Hoffmann / Act 1: Entr'acte                                                                                                                                         ,Jacques Offenbach                               ,6,Acoustic Instrumentals
"Ave Maria, D839                                                                                                                                                                ",Franz Schubert                                  ,22,Acoustic Instrumentals 2
"Attila: ""Mentre gonfiarsi l'anima""                                                                                                                                           ",Giuseppe Verdi                                  ,22,Acoustic Instrumentals 2
"Die Zauberflöte / Act 2: ""Pa-Pa-Pa-Pa-Pa-Pa-Papagena!""                                                                                                                       ",Wolfgang Amadeus Mozart                         ,14,Acoustic Chill
Il barbiere di Siviglia: Overture (Sinfonia)                                                                                                                                     ,Gioachino Rossini                               ,6,Acoustic Instrumentals
"Vivaldi: Orlando furioso, RV 728: ""Ah fuggi rapido""                                                                                                                          ",Antonio Vivaldi                                 ,9,Mellow Acoustic 2
"Tannhäuser, WWV 70 - Paris version / Act 3: ""Beglückt darf nun dich, o Heimat"" (Pilgrims Chorus)                                                                             ",Richard Wagner                                  ,210,Acoustic Chill 3
"Lakmé / Act 1: Viens, Mallika, ... Dôme épais (Flower Duet)                                                                                                                    ",Léo Delibes                                     ,14,Acoustic Chill
"Die Zauberflöte, K.620: Overture                                                                                                                                               ",Wolfgang Amadeus Mozart                         ,6,Acoustic Instrumentals
"Don Giovanni, ossia Il dissoluto punito, K.527 / Act 2: ""Don Giovanni, a cenar teco m'invitasti""                                                                             ",Wolfgang Amadeus Mozart                         ,100,Acoustic Instrumentals 3
"La forza dell’amore e dell’odio: ""Vado a morir""                                                                                                                              ",Francesco Araia                                 ,18,Acoustic Chill 2
"Serse / Act 1 HWV40: ""Ombra mai fu""                                                                                                                                          ",George Frideric Handel                          ,6,Acoustic Instrumentals
Fidelio op.72 - Edited Helga Lühning & Robert Didio / Act 1: O welche Lust                                                                                                       ,Ludwig van Beethoven                            ,14,Acoustic Chill
"Vado, ma dove? oh Dei!, K. 583                                                                                                                                                 ",Wolfgang Amadeus Mozart                         ,14,Acoustic Chill
Sposa son disprezzata                                                                                                                                                            ,Antonio Vivaldi                                 ,18,Acoustic Chill 2
"Lohengrin / Act 3: ""In fernem Land, unnahbar euren Schritten""                                                                                                                ",Richard Wagner                                  ,14,Acoustic Chill
Blue Moon                                                                                                                                                                        ,Billie Holiday                                  ,14,Acoustic Chill
Everything Happens to Me                                                                                                                                                         ,Chet Baker                                      ,14,Acoustic Chill
My Foolish Heart                                                                                                                                                                 ,Bill Evans Trio                                 ,14,Acoustic Chill
My One And Only Love                                                                                                                                                             ,John Coltrane                                   ,210,Acoustic Chill 3
Windows                                                                                                                                                                          ,Chick Corea                                     ,210,Acoustic Chill 3
This Is Always                                                                                                                                                                   ,Betty Carter                                    ,18,Acoustic Chill 2
Skating In Central Park                                                                                                                                                          ,Bill Evans                                      ,6,Acoustic Instrumentals
'Long As You Know You're Living Yours                                                                                                                                            ,Keith Jarrett                                   ,9,Mellow Acoustic 2
Autumn In New York                                                                                                                                                               ,Ella Fitzgerald                                 ,18,Acoustic Chill 2
I Fall In Love Too Easily                                                                                                                                                        ,Bill Evans Trio                                 ,100,Acoustic Instrumentals 3
Solitude                                                                                                                                                                         ,Billie Holiday                                  ,14,Acoustic Chill
Stormy Weather                                                                                                                                                                   ,Etta James                                      ,7,Mellow Acoustic
These Foolish Things (Remastered)                                                                                                                                                ,Lester Young                                    ,22,Acoustic Instrumentals 2
A Day In The Life                                                                                                                                                                ,Wes Montgomery                                  ,100,Acoustic Instrumentals 3
Say It (Over And Over Again)                                                                                                                                                     ,John Coltrane Quartet                           ,210,Acoustic Chill 3
Crystal Silence                                                                                                                                                                  ,Chick Corea                                     ,100,Acoustic Instrumentals 3
Hipsippy Blues                                                                                                                                                                   ,Art Blakey & The Jazz Messengers                ,101,Mellow Acoustic 3
April In Paris                                                                                                                                                                   ,Billie Holiday                                  ,210,Acoustic Chill 3
You Go To My Head - 2020 Mix                                                                                                                                                     ,Frank Sinatra                                   ,18,Acoustic Chill 2
Porgy (I Loves You Porgy) - Outtake                                                                                                                                              ,Bill Evans Trio                                 ,22,Acoustic Instrumentals 2
Stormy Weather                                                                                                                                                                   ,Oscar Peterson Trio                             ,22,Acoustic Instrumentals 2
So Tender                                                                                                                                                                        ,Keith Jarrett                                   ,100,Acoustic Instrumentals 3
I Can't Give You Anything But Love                                                                                                                                               ,Sonny Clark                                     ,18,Acoustic Chill 2
Misty                                                                                                                                                                            ,Sarah Vaughan                                   ,18,Acoustic Chill 2
Someone To Watch Over Me                                                                                                                                                         ,Lee Konitz                                      ,6,Acoustic Instrumentals
Cloe                                                                                                                                                                             ,Joe Pass                                        ,100,Acoustic Instrumentals 3
"Köln, January 24, 1975, Pt. II C - Live                                                                                                                                        ",Keith Jarrett                                   ,6,Acoustic Instrumentals
Almost Like Being In Love                                                                                                                                                        ,Red Garland                                     ,7,Mellow Acoustic
"Goodbye, Old Girl                                                                                                                                                              ",Art Farmer                                      ,22,Acoustic Instrumentals 2
Summertime                                                                                                                                                                       ,Charlie Parker                                  ,18,Acoustic Chill 2
A Nightingale Sang In Berkeley Square                                                                                                                                            ,Stan Getz                                       ,210,Acoustic Chill 3
Give Me The Simple Life                                                                                                                                                          ,Lorez Alexandria                                ,210,Acoustic Chill 3
Love For Sale                                                                                                                                                                    ,Anita O'Day                                     ,200,Happy Grooves
Just Friends                                                                                                                                                                     ,Sarah Vaughan                                   ,18,Acoustic Chill 2
But Not For Me - Vocal Version                                                                                                                                                   ,Chet Baker                                      ,18,Acoustic Chill 2
Cheek To Cheek                                                                                                                                                                   ,Ella Fitzgerald                                 ,9,Mellow Acoustic 2
Mean To Me - Remastered/1998                                                                                                                                                     ,Dean Martin                                     ,14,Acoustic Chill
Alone Together                                                                                                                                                                   ,Peggy Lee                                       ,101,Mellow Acoustic 3
Teach Me Tonight                                                                                                                                                                 ,Dinah Washington                                ,18,Acoustic Chill 2
On The Sunny Side Of The Street                                                                                                                                                  ,Dizzy Gillespie                                 ,9,Mellow Acoustic 2
Autumn Leaves                                                                                                                                                                    ,Chet Baker                                      ,101,Mellow Acoustic 3
'Round Midnight                                                                                                                                                                  ,Thelonious Monk                                 ,22,Acoustic Instrumentals 2
The Things We Did Last Summer                                                                                                                                                    ,Freddie Hubbard                                 ,22,Acoustic Instrumentals 2
Dedicated To You                                                                                                                                                                 ,John Coltrane                                   ,14,Acoustic Chill
Line For Lyons                                                                                                                                                                   ,Gerry Mulligan                                  ,18,Acoustic Chill 2
How Long Has This Been Going On?                                                                                                                                                 ,Ella Fitzgerald                                 ,18,Acoustic Chill 2
St. Thomas                                                                                                                                                                       ,Sonny Rollins                                   ,9,Mellow Acoustic 2
I Get Along Without You Very Well (Except Sometimes) - Vocal Version                                                                                                             ,Chet Baker                                      ,14,Acoustic Chill
The Girl From Ipanema                                                                                                                                                            ,Stan Getz                                       ,14,Acoustic Chill
Gary's Theme - 2003 Remastered Version                                                                                                                                           ,Bill Evans                                      ,22,Acoustic Instrumentals 2
Blue World                                                                                                                                                                       ,John Coltrane                                   ,200,Happy Grooves
Quick Trick                                                                                                                                                                      ,Art Blakey & The Jazz Messengers                ,210,Acoustic Chill 3
Softly As In A Morning Sunrise                                                                                                                                                   ,The Modern Jazz Quartet                         ,7,Mellow Acoustic
Tell Me a Bedtime Story                                                                                                                                                          ,Herbie Hancock                                  ,100,Acoustic Instrumentals 3
Dream A Little Dream Of Me - Single Version                                                                                                                                      ,Ella Fitzgerald                                 ,210,Acoustic Chill 3
There Will Never Be Another You                                                                                                                                                  ,Lester Young                                    ,100,Acoustic Instrumentals 3
Mirrors - Remastered 2004                                                                                                                                                        ,Freddie Hubbard                                 ,100,Acoustic Instrumentals 3
Stella By Starlight (feat. John Coltrane & Bill Evans)                                                                                                                           ,Miles Davis                                     ,14,Acoustic Chill
Senor Mouse                                                                                                                                                                      ,Gary Burton                                     ,100,Acoustic Instrumentals 3
"Straight, No Chaser                                                                                                                                                            ",Thelonious Monk                                 ,9,Mellow Acoustic 2
Bye Bye Blackbird                                                                                                                                                                ,Etta Jones                                      ,7,Mellow Acoustic
Close Your Eyes                                                                                                                                                                  ,Art Blakey & The Jazz Messengers                ,18,Acoustic Chill 2
You Don't Know What Love Is                                                                                                                                                      ,Anita O'Day                                     ,14,Acoustic Chill
Young And Foolish                                                                                                                                                                ,Bill Evans                                      ,22,Acoustic Instrumentals 2
Four Brothers                                                                                                                                                                    ,Art Pepper                                      ,200,Happy Grooves
Love Theme From Spartacus - Remastered                                                                                                                                           ,Yusef Lateef                                    ,100,Acoustic Instrumentals 3
Autumn Nocturne                                                                                                                                                                  ,Lou Donaldson                                   ,210,Acoustic Chill 3
Moon River                                                                                                                                                                       ,Vince Guaraldi Trio                             ,100,Acoustic Instrumentals 3
"Take the ""A"" Train                                                                                                                                                           ",Duke Ellington                                  ,9,Mellow Acoustic 2
The Masquerade Is Over                                                                                                                                                           ,Benny Golson                                    ,6,Acoustic Instrumentals
Comin' Home Baby                                                                                                                                                                 ,Herbie Mann                                     ,210,Acoustic Chill 3
Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition                                                                                                                       ,Freddie Hubbard                                 ,100,Acoustic Instrumentals 3
You Don't Know What Love Is                                                                                                                                                      ,Dinah Washington                                ,18,Acoustic Chill 2
You Don't Know What Love Is                                                                                                                                                      ,Billie Holiday                                  ,18,Acoustic Chill 2
All the Things You Are                                                                                                                                                           ,Oscar Peterson Trio                             ,100,Acoustic Instrumentals 3
There's No Business Like Show Business                                                                                                                                           ,Sonny Rollins                                   ,200,Happy Grooves
Blue Bossa - Remastered                                                                                                                                                          ,Joe Henderson                                   ,100,Acoustic Instrumentals 3
Joy Spring                                                                                                                                                                       ,Clifford Brown                                  ,22,Acoustic Instrumentals 2
It Could Happen To You                                                                                                                                                           ,Miles Davis Quintet                             ,101,Mellow Acoustic 3
For Lena And Lennie                                                                                                                                                              ,Quincy Jones                                    ,6,Acoustic Instrumentals
Tea for Two                                                                                                                                                                      ,Art Tatum                                       ,6,Acoustic Instrumentals
Chitlins Con Carne                                                                                                                                                               ,Kenny Burrell                                   ,200,Happy Grooves
I Remember You                                                                                                                                                                   ,Lee Konitz                                      ,101,Mellow Acoustic 3
All the Things You Are                                                                                                                                                           ,Charlie Parker                                  ,22,Acoustic Instrumentals 2
In A Sentimental Mood                                                                                                                                                            ,Duke Ellington                                  ,18,Acoustic Chill 2
I'll Remember April - Instrumental                                                                                                                                               ,Chet Baker                                      ,101,Mellow Acoustic 3
I'm A Fool To Want You - 2006 Digital Remaster                                                                                                                                   ,Donald Byrd                                     ,100,Acoustic Instrumentals 3
O Pato                                                                                                                                                                           ,Stan Getz                                       ,101,Mellow Acoustic 3
It's Only A Paper Moon                                                                                                                                                           ,Ella Fitzgerald                                 ,14,Acoustic Chill
"A Love Supreme, Pt. II - Resolution                                                                                                                                            ",John Coltrane                                   ,14,Acoustic Chill
My Groove Your Move - Rudy Van Gelder Edition                                                                                                                                    ,Hank Mobley                                     ,7,Mellow Acoustic
My Funny Valentine                                                                                                                                                               ,Chet Baker                                      ,18,Acoustic Chill 2
Stolen Moments                                                                                                                                                                   ,Ahmad Jamal Trio                                ,100,Acoustic Instrumentals 3
Corcovado (Quiet Nights Of Quiet Stars)                                                                                                                                          ,Stan Getz                                       ,18,Acoustic Chill 2
My Little Brown Book                                                                                                                                                             ,Duke Ellington                                  ,18,Acoustic Chill 2
My Funny Valentine                                                                                                                                                               ,Miles Davis Quintet                             ,18,Acoustic Chill 2
Midnight Special - Rudy Van Gelder Digital Remaster/2007                                                                                                                         ,Jimmy Smith                                     ,6,Acoustic Instrumentals
All Alone                                                                                                                                                                        ,Mal Waldron                                     ,100,Acoustic Instrumentals 3
If You Could See Me Now                                                                                                                                                          ,Chet Baker                                      ,6,Acoustic Instrumentals
Midnight Blue - Remastered                                                                                                                                                       ,Kenny Burrell                                   ,7,Mellow Acoustic
Dolphin Dance                                                                                                                                                                    ,Ahmad Jamal Trio                                ,6,Acoustic Instrumentals
Solar - Rudy Van Gelder Remaster                                                                                                                                                 ,Miles Davis Quintet                             ,18,Acoustic Chill 2
The Way You Look Tonight - 2003 Remastered                                                                                                                                       ,Paul Desmond                                    ,101,Mellow Acoustic 3
All of Me                                                                                                                                                                        ,Billie Holiday                                  ,18,Acoustic Chill 2
Conference Of The Birds                                                                                                                                                          ,Dave Holland Quartet                            ,14,Acoustic Chill
"A Love Supreme, Pt. I – Acknowledgement                                                                                                                                        ",John Coltrane                                   ,101,Mellow Acoustic 3
Blues Inn - Remastered                                                                                                                                                           ,Jackie McLean                                   ,101,Mellow Acoustic 3
"Mercy, Mercy, Mercy                                                                                                                                                            ",Cannonball Adderley                             ,14,Acoustic Chill
It Never Entered My Mind                                                                                                                                                         ,Coleman Hawkins                                 ,210,Acoustic Chill 3
Foolin' Myself                                                                                                                                                                   ,Lee Konitz                                      ,210,Acoustic Chill 3
You've Changed                                                                                                                                                                   ,Dakota Staton                                   ,18,Acoustic Chill 2
Besame Mucho                                                                                                                                                                     ,Dave Brubeck                                    ,100,Acoustic Instrumentals 3
I'm A Fool To Want You                                                                                                                                                           ,Dexter Gordon                                   ,100,Acoustic Instrumentals 3
Have You Met Miss Jones?                                                                                                                                                         ,Oscar Peterson Trio                             ,18,Acoustic Chill 2
Louise                                                                                                                                                                           ,Lionel Hampton                                  ,18,Acoustic Chill 2
Nature Boy                                                                                                                                                                       ,Jan Johansson                                   ,100,Acoustic Instrumentals 3
Two Not One                                                                                                                                                                      ,Lee Konitz                                      ,200,Happy Grooves
Cool Struttin'                                                                                                                                                                   ,Sonny Clark                                     ,101,Mellow Acoustic 3
Danny's Dream                                                                                                                                                                    ,Lars Gullin                                     ,22,Acoustic Instrumentals 2
Main Stem                                                                                                                                                                        ,Johnny Hodges                                   ,9,Mellow Acoustic 2
Lover Man                                                                                                                                                                        ,Billie Holiday                                  ,210,Acoustic Chill 3
Never Will I Marry                                                                                                                                                               ,Cannonball Adderley                             ,210,Acoustic Chill 3
I Remember Clifford - Rudy Van Gelder Edition; 2007 Digital Remaster                                                                                                             ,Lee Morgan                                      ,100,Acoustic Instrumentals 3
How Long Has This Been Going On                                                                                                                                                  ,Ben Webster                                     ,210,Acoustic Chill 3
Turiya & Ramakrishna                                                                                                                                                             ,Alice Coltrane                                  ,22,Acoustic Instrumentals 2
My Favorite Things                                                                                                                                                               ,John Coltrane                                   ,210,Acoustic Chill 3
Lullaby Of Birdland                                                                                                                                                              ,Sarah Vaughan                                   ,101,Mellow Acoustic 3
Questar                                                                                                                                                                          ,Keith Jarrett                                   ,7,Mellow Acoustic
One For Daddy-O - Remastered                                                                                                                                                     ,Cannonball Adderley                             ,7,Mellow Acoustic
Triste                                                                                                                                                                           ,Oscar Peterson Trio                             ,22,Acoustic Instrumentals 2
I've Grown Accustomed To Her Face - Remastered/1998                                                                                                                              ,Dean Martin                                     ,210,Acoustic Chill 3
Let's Do It                                                                                                                                                                      ,Eartha Kitt                                     ,14,Acoustic Chill
Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster                                                                                                         ,Lee Morgan                                      ,22,Acoustic Instrumentals 2
Serenade To A Soul Sister - Remastered                                                                                                                                           ,Horace Silver                                   ,101,Mellow Acoustic 3
Lazy Afternoon                                                                                                                                                                   ,Joe Henderson                                   ,100,Acoustic Instrumentals 3
